##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;;;;x
PROV130;Rovaniemi;Rovaniemi;Rovaniemi;Rovaniemi;Rovaniemi;Rovaniemi;;;;;X
PROV131;Tornio;Tornio;Tornio;Tornio;Tornio;Tornio;;;;;X
PROV132;Petsamo;Petsamo;Petsamo;Petsamo;Petsamo;Petsamo;;;;;X
PROV133;Murmansk;Murmansk;Murmansk;Múrmansk;Murmansk;Murmansk;;;;;X
PROV134;Kola;Kola;Kola;Kola;Kola;Kola;;;;;X
PROV135;Kandalaksja;Kandalaksja;Kandalaksja;Kandalaksha;Kandalakscha;Kandalaksja;;;;;X
PROV136;Kajaani;Kajaani;Kajaani;Kajaani;Kajaani;Kajaani;;;;;X
PROV137;Oulu;Oulu;Oulu;Oulu;Oulu;Oulu;;;;;X
PROV138;Vaasa;Vaasa;Vaasa;Vaasa;Vaasa;Vaasa;;;;;X
PROV139;Seinäjoki;Seinäjoki;Seinäjoki;Seinäjoki;Seinäjoki;Seinäjoki;;;;;X
PROV140;Pori;Pori;Pori;Pori;Pori;Pori;;;;;X
PROV141;Turku;Turku;Turku;Turku;Turku;Turku;;;;;X
PROV142;Helsinki;Helsinki;Helsinki;Helsinki;Helsinki;Helsinki;;;;;X
PROV143;Tampere;Tampere;Tampere;Tampere;Tampere;Tampere;;;;;X
PROV144;Mikkeli;Mikkeli;Mikkeli;Mikkeli;Mikkeli;Mikkeli;;;;;X
PROV145;Viipuri;Viipuri;Viipuri;Viipuri;Viipuri;Viipuri;;;;;X
PROV146;Sortavala;Sortavala;Sortavala;Sortavala;Sortawala;Sortavala;;;;;X
PROV147;Jyväskylä;Jyväskylä;Jyväskylä;Jyväskylä;Jyväskylä;Jyväskylä;;;;;X
PROV148;Kuopio;Kuopio;Kuopio;Kuopio;Kuopio;Kuopio;;;;;X
PROV149;Joensuu;Joensuu;Joensuu;Joensuu;Joensuu;Joensuu;;;;;X
PROV150;Kem;Kem;Kem;Kem;Kem;Kem;;;;;X
PROV151;Segezha;Segezha;Segezha;Seguezha;Segescha;Segezha;;;;;X
PROV152;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrosawodsk;Petrozavodsk;;;;;X
PROV153;Molotovsk;Molotovsk;Molotovsk;Molodovsk;Molotowsk;Molotovsk;;;;;X
PROV154;Archangelsk;Archangelsk;Archangelsk;Arjanguelsk;Archangelsk;Archangelsk;;;;;X
PROV155;Penza;Penza;Penza;Penza;Pensa;Penza;;;;;X
PROV156;Balashov;Balashov;Balashov;Balashov;Balaschow;Balashov;;;;;X
PROV157;Uryupinsk;Uryupinsk;Uryupinsk;Uriupinsk;Urjupinsk;Uryupinsk;;;;;X
PROV158;Kuznetsk;Kuznetsk;Kuznetsk;Kuznetsk;Kusnezk;Kuznetsk;;;;;X
PROV159;Kamyshin;Kamyshin;Kamyshin;Kamishin;Kamyschin;Kamyshin;;;;;X
PROV160;Frolovo;Frolovo;Frolovo;Frolovo;Frolowo;Frolovo;;;;;X
PROV161;Surovikino;Surovikino;Surovikino;Surovikino;Surowikino;Surovikino;;;;;X
PROV162;Kalach;Kalach;Kalach;Kalach;Kalatsch;Kalach;;;;;X
PROV163;Stalingrad;Stalingrad;Stalingrad;Stalingrado;Stalingrad;Stalingrad;;;;;X
PROV164;Cherny Yar;Cherny Yar;Cherny Yar;Chërnii Iar;Tscherni Jar;Cherny Yar;;;;;X
PROV165;Konosha;Konosha;Konosha;Konosha;Konoscha;Konosha;;;;;X
PROV166;Kostroma;Kostroma;Kostroma;Kostromá;Kostroma;Kostroma;;;;;X
PROV167;Ivanovo;Ivanovo;Ivanovo;Ivánovo;Iwanowo;Ivanovo;;;;;X
PROV168;Gorkij;Gorkij;Gorkij;Gorki;Gorki;Gorkij;;;;;X
PROV169;Arzamas;Arzamas;Arzamas;Arzamas;Arsamas;Arzamas;;;;;X
PROV170;Totma;Totma;Totma;Tot'ma;Totma;Totma;;;;;X
PROV171;Volodga;Volodga;Volodga;Volodga;Wologda;Volodga;;;;;X
PROV172;Cherepovets;Cherepovets;Cherepovets;Cherepovets;Tscherepowez;Cherepovets;;;;;X
PROV173;Bezhetsk;Bezhetsk;Bezhetsk;Bezhetsk;Beschetsk;Bezhetsk;;;;;X
PROV174;Kalinin;Kalinin;Kalinin;Kalinin;Kalinin;Kalinin;;;;;X
PROV175;Moscow;Moscow;Moscow;Moscú;Moskau;Moscow;;;;;X
PROV176;Rybinsk;Rybinsk;Rybinsk;Ríbinsk;Rybinsk;Rybinsk;;;;;X
PROV177;Danilov;Danilov;Danilov;Danilov;Danilow;Danilov;;;;;X
PROV178;Yaroslavl;Yaroslavl;Yaroslavl;Yaroslavl;Jaroslawl;Yaroslavl;;;;;X
PROV179;Murom;Murom;Murom;Murom;Murom;Murom;;;;;X
PROV180;Vladimir;Vladimir;Vladimir;Vladímir;Wladimir;Vladimir;;;;;X
PROV181;Kaluga;Kaluga;Kaluga;Kaluga;Kaluga;Kaluga;;;;;X
PROV182;Mozhaisk;Mozhaisk;Mozhaisk;Mozhaisk;Moschaisk;Mozhaisk;;;;;X
PROV183;Vytegra;Vytegra;Vytegra;Vitegra;Wytegra;Vytegra;;;;;X
PROV184;Tikhvin;Tikhvin;Tikhvin;Tijvin;Tichwin;Tikhvin;;;;;X
PROV185;Volkhov;Volkhov;Volkhov;Voljov;Wolchow;Volkhov;;;;;X
PROV186;Luga;Luga;Luga;Luga;Luga;Luga;;;;;X
PROV187;Leningrad;Leningrad;Leningrad;Leningrado;Leningrad;Leningrad;;;;;X
PROV188;Kingisepp;Kingisepp;Kingisepp;Kinguisepp;Kingisepp;Kingisepp;;;;;X
PROV189;Novgorod;Novgorod;Novgorod;Nóvgorod;Nowgorod;Novgorod;;;;;X
PROV190;Staraya Russa;Staraya Russa;Staraya Russa;Staraia Russa;Staraja Russa;Staraya Russa;;;;;X
PROV191;Porkhov;Porkhov;Porkhov;Porjov;Porchow;Porkhov;;;;;X
PROV192;Gdov;Gdov;Gdov;Gdov;Gdow;Gdov;;;;;X
PROV193;Narva;Narva;Narva;Narva;Narwa;Narva;;;;;X
PROV194;Tallinn;Tallinn;Tallinn;Tallin;Tallinn;Tallinn;;;;;X
PROV195;Tartu;Tartu;Tartu;Tartu;Tartu;Tartu;;;;;X
PROV196;Pärnu;Pärnu;Pärnu;Pärnu;Pärnu;Pärnu;;;;;X
PROV197;Riga;Riga;Riga;Riga;Riga;Riga;;;;;X
PROV198;Gulbene;Gulbene;Gulbene;Gulbene;Gulbene;Gulbene;;;;;X
PROV199;Voru;Voru;Voru;Võru;Voru;Voru;;;;;X
PROV200;Pskov;Pskov;Pskov;Pskov;Pleskau;Pskov;;;;;X
PROV201;Opochka;Opochka;Opochka;Opochka;Opochka;Opochka;;;;;X
PROV202;Dagaupulis;Dagaupulis;Dagaupulis;Daugavpils;Dünaburg;Dagaupulis;;;;;X
PROV203;Jekapils;Jekapils;Jekapils;Jekabpils;Jekapils;Jekapils;;;;;X
PROV204;Jelgava;Jelgava;Jelgava;Jelgava;Jelgava;Jelgava;;;;;X
PROV205;Mazirbe;Mazirbe;Mazirbe;Mazirbe;Mazirbe;Mazirbe;;;;;X
PROV206;Memel;Memel;Memel;Memel;Memel;Memel;;;;;X
PROV207;Kaunas;Kaunas;Kaunas;Kaunas;Kaunas;Kaunas;;;;;X
PROV208;Wilno;Wilno;Wilno;Vilna;Wilna;Wilno;;;;;X
PROV209;Grodno;Grodno;Grodno;Grodno;Grodno;Grodno;;;;;X
PROV210;Baranowicze;Baranowicze;Baranowicze;Baranowice;Baranowitschi;Baranowicze;;;;;X
PROV211;Lida;Lida;Lida;Lida;Lida;Lida;;;;;X
PROV212;Minsk;Minsk;Minsk;Minsk;Minsk;Minsk;;;;;X
PROV213;Molodeczno;Molodeczno;Molodeczno;Molodechno;Molodetschno;Molodeczno;;;;;X
PROV214;Swieciany;Swieciany;Swieciany;Swiecienin;Swieciany;Swieciany;;;;;X
PROV215;Novorzhev;Novorzhev;Novorzhev;Novorzhev;Noworschew;Novorzhev;;;;;X
PROV216;Nevel;Nevel;Nevel;Nevel';Newel;Nevel;;;;;X
PROV217;Vitebsk;Vitebsk;Vitebsk;Vítebsk;Witebsk;Vitebsk;;;;;X
PROV218;Orsha;Orsha;Orsha;Orsha;Orscha;Orsha;;;;;X
PROV219;Smolensk;Smolensk;Smolensk;Smolensk;Smolensk;Smolensk;;;;;X
PROV220;Mogilev;Mogilev;Mogilev;Mogilëv;Mogilew;Mogilev;;;;;X
PROV221;Bobraisk;Bobraisk;Bobraisk;Bobruisk;Bobraisk;Bobraisk;;;;;X
PROV222;Luniniec;Luniniec;Luniniec;Luniniets;Luninez;Luniniec;;;;;X
PROV223;;;;;;;;;;;X
PROV224;;;;;;;;;;;X
PROV225;Mozyr;Mozyr;Mozyr;Mozir;Mozyr;Mozyr;;;;;X
PROV226;Korosten;Korosten;Korosten;Korosten';Korosten;Korosten;;;;;X
PROV227;Zhitomir;Zhitomir;Zhitomir;Zhitomir;Schitomir;Zhitomir;;;;;X
PROV228;Vinnitsa;Vinnitsa;Vinnitsa;Vinnitsa;Winniza;Vinnitsa;;;;;X
PROV229;Stanislawow;Stanislawow;Stanislawow;Stanislawów;Stanislawow;Stanislawow;;;;;X
PROV230;Beltsy;Beltsy;Beltsy;Baltsi;Belzy;Beltsy;;;;;X
PROV231;Mogilev Podolski;Mogilev Podolski;Mogilev Podolski;Mogilëv-Podolski;Mogilew Podolski;Mogilev Podolski;;;;;X
PROV232;Balta;Balta;Balta;Balta;Balta;Balta;;;;;X
PROV233;Odessa;Odessa;Odessa;Odesa;Odessa;Odessa;;;;;X
PROV234;Kherson;Kherson;Kherson;Jerson;Cherson;Kherson;;;;;X
PROV235;Dnepropetrovsk;Dnepropetrovsk;Dnepropetrovsk;Dniepropetrovsk;Dnjepropetrowsk;Dnepropetrovsk;;;;;X
PROV236;Krivoy Rog;Krivoy Rog;Krivoy Rog;Krivoy Rog;Kriwoi Rog;Krivoy Rog;;;;;X
PROV237;Cherkassy;Cherkassy;Cherkassy;Cherkassi;Tscherkassy;Cherkassy;;;;;X
PROV238;Kiev;Kiev;Kiev;Kíev;Kiew;Kiev;;;;;X
PROV239;Priluki;Priluki;Priluki;Priluki;Priluki;Priluki;;;;;X
PROV240;Vyshgorod;Vyshgorod;Vyshgorod;Vishgorod;Wyschgorod;Vyshgorod;;;;;X
PROV241;Chernigov;Chernigov;Chernigov;Chernigovo;Tschernigow;Chernigov;;;;;X
PROV242;Konotop;Konotop;Konotop;Konotop;Konotop;Konotop;;;;;X
PROV243;Kursk;Kursk;Kursk;Kursk;Kursk;Kursk;;;;;X
PROV244;Sumy;Sumy;Sumy;Sumi;Sumy;Sumy;;;;;X
PROV245;Poltava;Poltava;Poltava;Poltava;Poltawa;Poltava;;;;;X
PROV246;Zaporozhye;Zaporozhye;Zaporozhye;Zaporozhie;Saporoschje;Zaporozhye;;;;;X
PROV247;Belgorod;Belgorod;Belgorod;Belgorod;Belgorod;Belgorod;;;;;X
PROV248;Kharkov;Kharkov;Kharkov;Járkov;Charkow;Kharkov;;;;;X
PROV249;Stalino;Stalino;Stalino;Stálino;Stalino;Stalino;;;;;X
PROV250;Melitopol;Melitopol;Melitopol;Melitopol;Melitopol;Melitopol;;;;;X
PROV251;Perekop;Perekop;Perekop;Perekop;Perekop;Perekop;;;;;X
PROV252;Yevpatoriya;Yevpatoriya;Yevpatoriya;Yevpatoriya;Jewpatorija;Yevpatoriya;;;;;X
PROV253;Sevastopol;Sevastopol;Sevastopol;Sebastopol;Sewastopol;Sevastopol;;;;;X
PROV254;Kerch;Kerch;Kerch;Kerch;Kerch;Kerch;;;;;X
PROV255;Novorossisk;Novorossisk;Novorossisk;Novorossiisk;Noworossisk;Novorossisk;;;;;X
PROV256;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;;;;;X
PROV257;Tikhoretsk;Tikhoretsk;Tikhoretsk;Tijoretsk;Tichoretsk;Tikhoretsk;;;;;X
PROV258;Rostov;Rostov;Rostov;Rostov;Rostow;Rostov;;;;;X
PROV259;Kamensk-Shakhtinski;Kamensk-Shakhtinski;Kamensk-Shakhtinski;Kamensk-Shajtinski;Kamensk-Schachtinski;Kamensk-Shakhtinski;;;;;X
PROV260;Bilovodsk;Bilovodsk;Bilovodsk;Belovodsk;Bilowodsk;Bilovodsk;;;;;X
PROV261;Rossosh;Rossosh;Rossosh;Rossosh';Rossosch;Rossosh;;;;;X
PROV262;Ostrogozhsk;Ostrogozhsk;Ostrogozhsk;Ostrogozhsk;Ostrogoschsk;Ostrogozhsk;;;;;X
PROV263;Svoboda;Svoboda;Svoboda;Svoboda;Swoboda;Svoboda;;;;;X
PROV264;Pavlovsk;Pavlovsk;Pavlovsk;Pavlovsk;Pawlowsk;Pavlovsk;;;;;X
PROV265;Boguchar;Boguchar;Boguchar;Boguchar;Bogutschar;Boguchar;;;;;X
PROV266;Kashary;Kashary;Kashary;Kashari;Kaschary;Kashary;;;;;X
PROV267;Bokovskaya;Bokovskaya;Bokovskaya;Bokovskaia;Bokowskaja;Bokovskaya;;;;;X
PROV268;Morozovsk;Morozovsk;Morozovsk;Morozovsk;Morozowsk;Morozovsk;;;;;X
PROV269;Konstatinovsk;Konstatinovsk;Konstatinovsk;Konstatinovsk;Konstatinowsk;Konstatinovsk;;;;;X
PROV270;Salsk;Salsk;Salsk;Salsk;Salsk;Salsk;;;;;X
PROV271;Kotelnikovo;Kotelnikovo;Kotelnikovo;Kotel'nikovo;Kotelnikowo;Kotelnikovo;;;;;X
PROV272;Zhlobin;Zhlobin;Zhlobin;Zhlobin;Schlobin;Zhlobin;;;;;X
PROV273;Gomel;Gomel;Gomel;Gómel;Gomel;Gomel;;;;;X
PROV274;Rogachev;Rogachev;Rogachev;Rogachev;Rogatschew;Rogachev;;;;;X
PROV275;Roslavl;Roslavl;Roslavl;Roslavl';Roslawl;Roslavl;;;;;X
PROV276;Klintsy;Klintsy;Klintsy;Klintsi;Klinzy;Klintsy;;;;;X
PROV277;Bryansk;Bryansk;Bryansk;Briansk;Brjansk;Bryansk;;;;;X
PROV278;Tula;Tula;Tula;Tula;Tula;Tula;;;;;X
PROV279;Ryazan;Ryazan;Ryazan;Riazán;Rjasan;Ryazan;;;;;X
PROV280;Tambov;Tambov;Tambov;Tambov;Tambow;Tambov;;;;;X
PROV281;Lipetsk;Lipetsk;Lipetsk;Lípetsk;Lipezk;Lipetsk;;;;;X
PROV282;Orel;Orel;Orel;Orel;Orel;Orel;;;;;X
PROV283;Voronezh;Voronezh;Voronezh;Vorónezh;Woronesch;Voronezh;;;;;X
PROV284;Borisglebsk;Borisglebsk;Borisglebsk;Borisoglebsk;Borisglebsk;Borisglebsk;;;;;X
PROV285;Vyazma;Vyazma;Vyazma;Vyaz’ma;Wjasma;Vyazma;;;;;X
PROV286;Toropets;Toropets;Toropets;Toropets;Toropets;Toropets;;;;;X
PROV287;Velikiye Luki;Velikiye Luki;Velikiye Luki;Velikiie Luki;Welikije Luki;Velikiye Luki;;;;;X
PROV288;Rzhev;Rzhev;Rzhev;Rzhev;Rschew;Rzhev;;;;;X
PROV289;Demyansk;Demyansk;Demyansk;Demiansk;Demjansk;Demyansk;;;;;X
PROV290;Öresund;Öresund;Öresund;Øresund;Öresund;Öresund;;;;;X
PROV291;;;;;;;;;;;X
PROV292;Aalborg;Aalborg;Aalborg;Alborg;Aalborg;Aalborg;;;;;X
PROV293;Odense;Odense;Odense;Odense;Odense;Odense;;;;;X
PROV294;Copenhagen;Copenhagen;Copenhagen;Copenhague;Kopenhagen;Copenhagen;;;;;X
PROV295;Bornholm;Bornholm;Bornholm;Bornholm;Bornholm;Bornholm;;;;;X
PROV296;Rostock;Rostock;Rostock;Rostock;Rostock;Rostock;;;;;X
PROV297;Wolfsburg;Wolfsburg;Wolfsburg;Wolfsburg;Wolfsburg;Wolfsburg;;;;;X
PROV298;Magdeburg;Magdeburg;Magdeburg;Magdeburgo;Magdeburg;Magdeburg;;;;;X
