Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Ruoff Richard;231;GER;1930;1936;1940;1990;2;7;5;2;0;5;0;L231;1930;1960;x
Rupp;232;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L232;1941;1960;x
Röpke;233;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L233;1942;1960;x
Schaal;237;GER;1930;1936;1940;1990;2;5;128;2;0;5;0;L237;1938;1960;x
Schellert;238;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L238;1942;1960;x
Schepke;239;GER;1930;1936;1945;1990;3;9;1024;2;0;5;1;L239;1940;1960;x
Schmidt H.;243;GER;1930;1936;1940;1990;2;5;2;2;0;5;0;L243;1930;1960;x
Schmundt;245;GER;1930;1936;1940;1990;2;4;0;2;0;5;0;L245;1942;1960;x
Schroeck;247;GER;1930;1936;1940;1990;2;5;2;2;0;5;0;L247;1944;1960;x
Schulz  F.;248;GER;1930;1936;1940;1990;2;5;128;2;0;5;0;L248;1942;1960;x
Schörner;249;GER;1930;1936;1940;1945;2;8;261;3;0;5;0;L249;1938;1960;x
Seydlitz-Kurzbach;251;GER;1930;1936;1940;1990;2;5;2;2;0;5;0;L251;1939;1960;x
Sieler;252;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L252;1943;1960;x
Sixt;253;GER;1930;1936;1940;1990;2;6;257;2;0;5;0;L253;1941;1960;x
Speidel;254;GER;1930;1936;1940;1990;2;4;0;2;0;3;0;L254;1942;1960;x
Stange;255;GER;1930;1936;1940;1990;2;6;256;2;0;5;0;L255;1945;1960;x
Stemmermann;256;GER;1930;1936;1940;1990;2;6;0;2;0;5;0;L256;1939;1960;x
Straube;257;GER;1930;1936;1940;1990;2;6;16;2;0;5;0;L257;1939;1960;x
Steiner;258;GER;1930;1936;1940;1990;2;6;133;2;0;5;0;L258;1941;1960;x
Strecker Karl;259;GER;1930;1936;1940;1990;2;5;2;2;0;5;0;L259;1938;1960;x
Student Kurt;260;GER;1930;1936;1940;1990;2;8;263;4;0;5;0;L260;1936;1960;x
Stumpff;261;GER;1930;1936;1940;1943;2;7;16384;2;0;5;2;L261;1940;1960;x
Stumme;262;GER;1930;1936;1940;1943;2;7;3;2;0;5;0;L262;1940;1960;x
Tolsdorff;264;GER;1930;1936;1940;1990;2;7;12;2;0;5;0;L264;1944;1960;x
Trierenberg;265;GER;1930;1936;1940;1990;2;5;2;2;0;5;0;L265;1938;1960;x
Veiel;268;GER;1930;1936;1940;1990;2;5;128;2;0;5;0;L268;1937;1960;x
Volckamer von Kirchensittenbach;270;GER;1930;1936;1940;1990;2;6;256;2;0;5;0;L270;1942;1960;x
von Arnim;272;GER;1930;1936;1940;1990;2;8;131;2;0;5;0;L272;1938;1960;x
von Bentivegni;274;GER;1930;1936;1940;1990;2;4;2;2;0;5;0;L274;1944;1960;x
von Biedermann;276;GER;1930;1936;1940;1990;2;5;2;2;0;5;0;L276;1941;1960;x
von Bock;279;GER;1930;1936;1936;1939;0;9;7;4;0;4;0;L279;1930;1960;x
von Boehm-Bezing;280;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L280;1930;1960;x
von Brauchitsch;282;GER;1930;1936;1936;1940;1;9;1;2;0;5;0;L282;1930;1960;x
von Briesen;283;GER;1930;1936;1940;1990;2;6;0;2;0;5;0;L283;1937;1960;x
von Brockdorff-Ahlefeldt;284;GER;1930;1936;1940;1990;2;5;4;2;0;5;0;L284;1937;1960;x
von Esebeck  H.K.;292;GER;1930;1936;1940;1990;2;5;3;2;0;5;0;L292;1941;1960;x
von Falkenhorst Nikolaus;294;GER;1930;1936;1940;1990;1;8;13;3;0;5;0;L294;1930;1960;x
von Funck Hans;297;GER;1930;1936;1940;1990;2;7;128;2;0;5;0;L297;1941;1960;x
von Gross-Zauche Strachwitz;300;GER;1930;1936;1940;1990;2;7;132;2;0;5;0;L300;1944;1960;x
von Hanneken;303;GER;1930;1936;1940;1990;2;6;2;2;0;5;0;L303;1938;1960;x
von Hartmann;304;GER;1930;1936;1940;1990;2;7;32;2;0;5;0;L304;1941;1960;x
von Knobelsdorff;308;GER;1930;1936;1940;1990;2;6;129;2;0;5;0;L308;1939;1960;x
von Kleist;310;GER;1930;1936;1940;1943;1;9;135;3;0;5;0;L310;1930;1960;x
von Kluge;311;GER;1930;1936;1940;1940;0;9;15;4;0;4;0;L311;1930;1960;x
von Krosigk;313;GER;1943;1936;1945;1990;1;7;5;3;0;5;0;L313;1943;1960;x
von Küchler;314;GER;1930;1936;1940;1942;1;9;7;2;0;5;0;L314;1930;1960;x
von Leeb;316;GER;1930;1936;1936;1939;0;8;7;4;0;5;0;L316;1930;1960;x
von Liebenstein zu Barchfeld;319;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L319;1943;1960;x
von Lüttwitz Smilio;320;GER;1942;1936;1946;1990;2;7;129;3;0;5;0;L320;1942;1960;x
von Mackensen Eberhard;322;GER;1930;1936;1940;1990;2;7;133;2;0;5;0;L322;1938;1960;x
von Manteuffel;323;GER;1930;1936;1944;1990;2;9;135;3;0;5;0;L323;1941;1960;x
von Manstein Erich;324;GER;1930;1936;1940;1942;0;9;199;5;0;5;0;L324;1930;1960;x
von Mellenthin;325;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L325;1942;1960;x
von Natzmer;326;GER;1930;1936;1940;1990;2;5;32;2;0;5;0;L326;1944;1960;x
von Oriola;328;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L328;1943;1960;x
von Pogrell;330;GER;1930;1936;1940;1990;1;5;512;2;0;5;0;L330;1930;1960;x
von Prittwitz und Gaffron;331;GER;1930;1936;1940;1990;2;6;2;2;0;5;0;L331;1930;1960;x
von Präger;332;GER;1930;1936;1940;1990;2;5;528;2;0;5;0;L332;1930;1960;x
von Ravenstein Hans;333;GER;1930;1936;1940;1990;2;5;3;2;0;5;0;L333;1930;1960;x
von Reichenau;334;GER;1930;1936;1939;1940;0;8;7;4;0;5;0;L334;1930;1960;x
von Rundstedt;335;GER;1930;1936;1936;1936;0;9;7;3;0;5;0;L335;1930;1960;x
von Saucken;337;GER;1930;1936;1940;1990;2;5;128;2;0;5;0;L337;1943;1960;x
von Schell;338;GER;1930;1936;1940;1990;2;7;128;2;0;5;0;L338;1930;1960;x
von Schleinitz;339;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L339;1930;1960;x
von Schobert;341;GER;1930;1936;1940;1990;1;7;4;2;0;5;0;L341;1930;1960;x
von Schwerin;342;GER;1930;1936;1940;1990;2;6;128;2;0;5;0;L342;1942;1960;x
von Stülpnagel  C.H.;344;GER;1930;1936;1940;1990;2;6;1;2;0;2;0;L344;1930;1960;x
von Thoma;345;GER;1930;1936;1940;1990;2;7;9;2;0;5;0;L345;1940;1960;x
von Tippelskirch Kurt;346;GER;1930;1936;1940;1990;2;7;11;2;0;5;0;L346;1938;1960;x
von Vietinghoff-Scheel;348;GER;1930;1936;1940;1990;2;8;131;2;0;5;0;L348;1930;1960;x
von Vollard-Böckelberg;349;GER;1930;1936;1940;1990;2;5;768;2;0;5;0;L349;1930;1960;x
von Weichs;351;GER;1930;1936;1940;1942;0;9;7;4;0;5;0;L351;1930;1960;x
von Witzleben Erwin;354;GER;1930;1936;1940;1940;0;9;7;4;0;2;0;L354;1930;1960;x
Warrelmann;358;GER;1930;1936;1940;1990;2;6;256;2;0;5;0;L358;1945;1960;x
Wodrig;366;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L366;1930;1960;x
Wolf;367;GER;1930;1936;1940;1990;2;5;2;2;0;5;0;L367;1944;1960;x
Zeitzler;369;GER;1930;1936;1940;1990;1;7;129;2;0;5;0;L369;1942;1960;x
Zickwolff;370;GER;1930;1936;1940;1990;2;5;2;2;0;5;0;L370;1938;1960;x
Zorn;372;GER;1930;1936;1940;1990;2;5;128;2;0;5;0;L372;1940;1960;x
Albrecht;373;GER;1930;1936;1940;1939;0;7;8704;2;0;5;1;L373;1930;1960;x
Bey;376;GER;1930;1936;1940;1990;2;6;8192;2;0;5;1;L376;1940;1960;x
Böhm;377;GER;1930;1936;1940;1941;1;7;4096;2;0;4;1;L377;1930;1960;x
Bonin-Reimar;378;GER;1930;1936;1940;1990;2;5;0;2;0;5;1;L378;1930;1960;x
Bonte;379;GER;1930;1936;1940;1990;2;5;8192;2;0;5;1;L379;1930;1960;x
Breuning;381;GER;1930;1936;1940;1990;2;6;1024;2;0;5;1;L381;1944;1960;x
Burchardi;382;GER;1930;1936;1940;1990;2;7;4096;2;0;5;1;L382;1941;1960;x
Busse;383;GER;1930;1936;1940;1990;2;6;8704;2;0;5;1;L383;1940;1960;x
Carls;384;GER;1930;1936;1940;1940;1;6;2560;2;0;3;1;L384;1930;1960;x
Ciliax;385;GER;1930;1936;1940;1990;2;6;4096;2;0;5;1;L385;1939;1960;x
Coupette;386;GER;1930;1936;1940;1990;2;6;8704;2;0;5;1;L386;1930;1938;x
Donner;388;GER;1930;1936;1940;1990;2;5;4608;2;0;5;1;L388;1930;1960;x
Dönitz;389;GER;1930;1936;1940;1943;0;9;1024;3;0;5;1;L389;1939;1960;x
Feldt;390;GER;1930;1936;1940;1990;2;5;0;2;0;5;1;L390;1942;1960;x
Krancke;400;GER;1930;1936;1940;1990;2;7;4096;2;0;5;1;L400;1941;1960;x
Kummetz;401;GER;1930;1936;1940;1990;2;6;0;2;0;5;1;L401;1940;1960;x
Lange;402;GER;1930;1936;1940;1990;2;5;0;2;0;5;1;L402;1941;1960;x
Langsdorff;403;GER;1930;1936;1940;1990;2;5;0;2;0;5;1;L403;1930;1960;x
Lütjens;406;GER;1930;1936;1940;1990;2;6;4096;2;0;5;1;L406;1937;1960;x
Marschall;407;GER;1930;1936;1940;1943;1;7;4096;2;0;5;1;L407;1930;1960;x
Meisel;408;GER;1930;1936;1940;1990;2;7;8192;2;0;5;1;L408;1942;1960;x
Raeder;409;GER;1930;1936;1936;1937;0;9;4096;4;0;4;1;L409;1930;1960;x
Rogge;410;GER;1930;1936;1940;1990;2;6;1536;2;0;5;1;L410;1943;1960;x
Ruge;411;GER;1930;1936;1940;1990;2;5;0;2;0;5;1;L411;1942;1960;x
Saalwächter Alfred;413;GER;1930;1936;1940;1940;1;8;2048;3;0;5;1;L413;1930;1960;x
von Friedeburg;421;GER;1930;1936;1940;1945;2;8;1024;2;0;5;1;L421;1942;1960;x
von Puttkamer;422;GER;1930;1936;1940;1990;2;4;0;2;0;5;1;L422;1943;1960;x
Weyher;424;GER;1930;1936;1940;1990;2;6;0;2;0;5;1;L424;1945;1960;x
Bodenschatz;427;GER;1930;1936;1940;1990;2;6;65536;2;0;5;2;L427;1938;1960;x
Bogatsch;428;GER;1930;1936;1940;1990;2;6;4096;2;0;5;2;L428;1938;1960;x
Bormann;429;GER;1930;1936;1940;1990;2;5;0;2;0;5;2;L429;1944;1960;x
Carlsen;432;GER;1930;1936;1940;1990;2;5;0;2;0;5;2;L432;1939;1960;x
Coeler;433;GER;1930;1936;1940;1990;2;6;131072;2;0;5;2;L433;1939;1960;x
Dessloch;434;GER;1930;1936;1940;1990;2;6;0;2;0;5;2;L434;1939;1960;x
Dinort;435;GER;1930;1936;1940;1990;2;6;16384;2;0;5;2;L435;1945;1960;x
Galland;437;GER;1930;1936;1940;1990;2;8;77824;4;0;5;2;L437;1940;1960;x
Geisler;438;GER;1930;1936;1940;1990;2;5;131072;2;0;5;2;L438;1937;1960;x
Grauert Ulrich;439;GER;1930;1936;1940;1990;1;7;20480;2;0;5;2;L439;1930;1960;x
Göring;440;GER;1930;1936;1936;1938;0;7;16384;2;0;5;2;L440;1930;1960;x
Harlinghausen;441;GER;1930;1936;1940;1990;2;6;0;2;0;5;2;L441;1942;1960;x
Hartmann;442;GER;1930;1936;1940;1990;2;6;131072;2;0;5;2;L442;1945;1960;x
Heilmann;443;GER;1930;1936;1940;1990;2;6;0;2;0;5;2;L443;1944;1960;x
Horten;445;GER;1930;1936;1940;1990;2;6;4096;2;0;5;2;L445;1943;1960;x
Huth;446;GER;1930;1936;1940;1990;2;6;4096;2;0;5;2;L446;1943;1960;x
Jeschonnek;447;GER;1930;1936;1940;1990;1;5;0;2;0;4;2;L447;1939;1960;x
Kastner-Kirdorf;449;GER;1930;1936;1940;1990;2;6;131072;2;0;5;2;L449;1938;1960;x
Keller Alfred;450;GER;1930;1936;1940;1990;1;7;20480;2;0;5;2;L450;1930;1960;x
Kesselring Albert;451;GER;1930;1936;1940;1940;0;9;16384;2;0;5;2;L451;1930;1942;x
Koller;452;GER;1930;1936;1940;1990;2;7;4096;2;0;5;2;L452;1942;1960;x
Krause;453;GER;1930;1936;1940;1990;2;5;131072;2;0;5;2;L453;1944;1960;x
Lörzer;454;GER;1930;1936;1940;1990;2;8;4096;2;0;5;2;L454;1938;1960;x
Mayer  E.;455;GER;1930;1936;1940;1990;2;6;0;2;0;5;2;L455;1942;1960;x
Milch Eberhard;456;GER;1930;1936;1940;1940;0;8;12288;4;0;5;2;L456;1930;1960;x
Morzik;457;GER;1930;1936;1940;1990;2;5;0;2;0;5;2;L457;1943;1960;x
Mölders;458;GER;1930;1936;1940;1990;2;7;12288;4;0;5;2;L458;1936;1960;x
Musshoff;459;GER;1930;1936;1940;1990;2;5;0;2;0;5;2;L459;1939;1960;x
Osterkamp;460;GER;1930;1936;1940;1990;2;5;0;2;0;5;2;L460;1940;1960;x
Peltz;461;GER;1930;1936;1940;1990;2;7;0;2;0;5;2;L461;1943;1960;x
Pflugbeil;462;GER;1930;1936;1940;1990;2;6;8192;2;0;5;2;L462;1939;1960;x
Rudel;464;GER;1930;1936;1940;1990;2;9;20480;3;0;5;2;L464;1945;1960;x
Rüdel;465;GER;1930;1936;1940;1990;2;5;16384;2;0;5;2;L465;1930;1960;x
Schmaltz;466;GER;1930;1936;1940;1990;2;5;0;2;0;5;2;L466;1940;1960;x
Schmidt  W.;467;GER;1930;1936;1940;1990;2;6;0;2;0;5;2;L467;1943;1960;x
Schultz;468;GER;1930;1936;1940;1990;2;5;0;2;0;5;2;L468;1939;1960;x
Simon;469;GER;1930;1936;1940;1990;2;6;0;2;0;5;2;L469;1943;1960;x
Sperrle;470;GER;1930;1936;1936;1940;0;9;53248;4;0;5;2;L470;1930;1960;x
Süssmann;472;GER;1930;1936;1940;1990;2;5;259;2;0;5;0;L472;1939;1960;x
Udet;473;GER;1930;1936;1940;1990;2;7;20480;2;0;5;2;L473;1937;1960;x
Uhl;474;GER;1930;1936;1940;1990;2;5;16384;2;0;5;2;L474;1945;1960;x
von Greim;475;GER;1930;1936;1940;1945;1;7;12288;3;0;5;2;L475;1938;1960;x
von Hippel;476;GER;1930;1936;1940;1990;2;5;0;2;0;5;2;L476;1943;1960;x
von Pohl;477;GER;1930;1936;1940;1990;1;9;0;2;0;5;2;L477;1939;1960;x
von Rantzau;478;GER;1930;1936;1940;1990;2;5;0;2;0;5;2;L478;1942;1960;x
von Richthofen;479;GER;1930;1936;1940;1943;2;9;20480;3;0;5;2;L479;1936;1960;x
Weise;481;GER;1930;1936;1940;1990;1;7;16384;2;0;5;2;L481;1930;1960;x
Wimmer;484;GER;1930;1936;1940;1990;1;6;0;2;0;5;2;L484;1930;1960;x
Wolff;485;GER;1930;1936;1940;1990;1;5;0;2;0;5;2;L485;1937;1960;x
Zenetti;486;GER;1930;1936;1940;1990;2;5;0;2;0;5;2;L486;1937;1960;x
Alpers;487;GER;1930;1936;1940;1990;2;6;256;2;0;5;0;L487;1939;1960;x
Augsberger;488;GER;1930;1936;1940;1990;2;5;4;2;0;5;0;L488;1943;1960;x
Becker  H.;490;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L490;1943;1960;x
Bittrich;491;GER;1930;1936;1940;1990;2;7;132;2;0;5;0;L491;1941;1960;x
Brasack;492;GER;1930;1936;1940;1990;2;6;128;2;0;5;0;L492;1944;1960;x
Demelhuber;495;GER;1930;1936;1940;1990;2;7;4;2;0;5;0;L495;1941;1960;x
Dietrich Josef;496;GER;1930;1936;1940;1990;2;8;135;2;0;5;0;L496;1930;1960;x
Eicke;497;GER;1930;1936;1940;1990;2;7;4;2;0;5;0;L497;1930;1960;x
