Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
McAvity;52040;CAN;1930;1930;1990;1990;2;5;128;2;0;5;0;L52040;1939;1960;x
McGowan;52041;CAN;1930;1930;1990;1990;2;5;0;2;0;5;0;L52041;1938;1960;x
McKelvey;52042;CAN;1930;1930;1990;1990;2;4;2;1;0;5;0;L52042;1938;1960;x
McKenzie;52043;CAN;1930;1930;1990;1990;2;5;32;2;0;5;0;L52043;1937;1960;x
McNaughton;52044;CAN;1930;1930;1939;1990;1;7;32;3;0;5;0;L52044;1930;1960;x
Melville;52045;CAN;1930;1930;1990;1990;2;5;32;2;0;5;0;L52045;1943;1960;x
Morton;52046;CAN;1930;1930;1990;1990;2;6;5;3;0;5;0;L52046;1937;1960;x
Munroe;52047;CAN;1930;1930;1990;1990;2;6;516;2;0;5;0;L52047;1930;1960;x
Murchie;52048;CAN;1930;1930;1942;1990;1;5;0;2;0;5;0;L52048;1930;1960;x
Neatby;52049;CAN;1930;1930;1990;1990;2;6;260;3;0;5;0;L52049;1940;1960;x
Nicklin;52050;CAN;1930;1930;1990;1990;2;5;256;2;0;5;0;L52050;1944;1960;x
Norton;52051;CAN;1930;1930;1990;1990;2;6;128;2;0;5;0;L52051;1939;1960;x
Oulton;52052;CAN;1930;1930;1946;1990;2;6;1;3;0;5;0;L52052;1938;1960;x
Pearkes;52053;CAN;1930;1930;1990;1990;2;5;4;2;0;5;0;L52053;1938;1960;x
Plow;52054;CAN;1930;1930;1990;1990;2;5;64;2;0;5;0;L52054;1942;1960;x
Price;52055;CAN;1930;1930;1990;1990;2;4;0;1;0;5;0;L52055;1937;1960;x
Roaf;52056;CAN;1930;1930;1990;1990;2;4;32;1;0;5;0;L52056;1943;1960;x
Roberts;52057;CAN;1930;1930;1990;1990;2;6;0;3;0;5;0;L52057;1938;1960;x
Rockingham;52058;CAN;1930;1930;1990;1990;2;5;256;2;0;5;0;L52058;1944;1960;x
Rowley;52059;CAN;1930;1930;1990;1990;2;5;256;2;0;5;0;L52059;1939;1960;x
Russell;52060;CAN;1930;1930;1990;1990;2;5;4;2;0;5;0;L52060;1937;1960;x
Salmon;52061;CAN;1930;1930;1990;1990;2;5;1;2;0;5;0;L52061;1939;1960;x
Sansom;52062;CAN;1930;1930;1990;1990;2;6;0;2;0;5;0;L52062;1930;1960;x
Sharp;52063;CAN;1930;1930;1990;1990;2;4;4;1;0;5;0;L52063;1941;1960;x
Shields;52064;CAN;1930;1930;1990;1990;2;5;514;1;0;5;0;L52064;1938;1960;x
Simonds;52065;CAN;1930;1930;1945;1990;2;8;132;3;0;5;0;L52065;1941;1960;x
Spragee;52066;CAN;1930;1930;1990;1990;2;5;256;2;0;5;0;L52066;1942;1960;x
Spry;52067;CAN;1930;1930;1990;1990;2;4;0;1;0;5;0;L52067;1944;1960;x
Stanley George;52068;CAN;1930;1930;1990;1990;2;4;128;1;0;5;0;L52068;1930;1960;x
Stothart;52069;CAN;1930;1930;1990;1990;2;5;1;2;0;5;0;L52069;1938;1960;x
Stuart;52070;CAN;1930;1930;1990;1990;2;6;4;3;0;5;0;L52070;1930;1960;x
Turnbill;52071;CAN;1930;1930;1990;1990;2;4;2;1;0;5;0;L52071;1939;1960;x
Vanier;52072;CAN;1930;1930;1938;1990;1;6;516;3;0;5;0;L52072;1930;1960;x
Vokes;52073;CAN;1930;1930;1990;1990;2;6;0;2;0;5;0;L52073;1941;1960;x
Walker;52074;CAN;1930;1930;1990;1990;2;5;256;2;0;5;0;L52074;1943;1960;x
Ware;52075;CAN;1930;1930;1990;1990;2;4;0;1;0;5;0;L52075;1930;1960;x
Watson;52076;CAN;1930;1930;1990;1990;2;6;128;2;0;5;0;L52076;1941;1960;x
White;52077;CAN;1930;1930;1990;1990;2;5;514;1;0;5;0;L52077;1930;1960;x
Worthington;52078;CAN;1930;1930;1990;1990;2;6;0;2;0;5;0;L52078;1939;1960;x
Barber;52079;CAN;1930;1930;1990;1990;2;5;0;2;0;5;1;L52079;1939;1960;x
Baillie-Grohman;52080;CAN;1930;1930;1944;1990;2;7;8192;3;0;5;1;L52080;1938;1960;x
Bishop;52081;CAN;1930;1930;1990;1990;2;5;0;2;0;5;1;L52081;1940;1960;x
Brodeur;52082;CAN;1930;1930;1990;1990;2;5;0;2;0;5;1;L52082;1930;1960;x
Desmond;52083;CAN;1930;1930;1990;1990;2;5;0;2;0;5;1;L52083;1945;1960;x
DeWolf;52084;CAN;1930;1930;1990;1990;2;4;0;1;0;5;1;L52084;1938;1960;x
Jones;52085;CAN;1930;1930;1990;1990;2;6;4096;2;0;5;1;L52085;1930;1960;x
Law;52086;CAN;1930;1930;1990;1990;2;5;1024;2;0;5;1;L52086;1939;1960;x
Murray;52087;CAN;1930;1930;1930;1990;1;5;2560;2;0;5;1;L52087;1930;1960;x
Murray-Adam;52088;CAN;1930;1930;1990;1990;2;6;8192;2;0;5;1;L52088;1942;1960;x
Nelles;52089;CAN;1930;1930;1943;1990;1;6;4096;3;0;5;1;L52089;1930;1960;x
Palutchin;52090;CAN;1930;1930;1990;1990;2;4;0;1;0;5;1;L52090;1945;1960;x
Petitpas;52091;CAN;1930;1930;1990;1990;2;5;1024;2;0;5;1;L52091;1941;1960;x
Piers;52092;CAN;1930;1930;1990;1990;2;6;0;2;0;5;1;L52092;1943;1960;x
Reid;52093;CAN;1930;1930;1990;1990;2;6;4096;2;0;5;1;L52093;1943;1960;x
Richardson;52094;CAN;1930;1930;1990;1990;2;5;0;2;0;5;1;L52094;1940;1960;x
Sonderstrom;52095;CAN;1930;1930;1990;1990;2;6;4096;2;0;5;1;L52095;1937;1960;x
Welland;52096;CAN;1930;1930;1990;1990;2;5;8192;2;0;5;1;L52096;1938;1960;x
Akitt;52097;CAN;1930;1930;1990;1990;2;6;33280;2;0;5;2;L52097;1930;1960;x
Beurling;53098;CAN;1930;1930;1990;1990;2;5;65536;2;0;5;2;L52098;1943;1960;x
Bishop;52099;CAN;1930;1930;1946;1990;2;7;16384;3;0;5;2;L52099;1930;1960;x
Brookes;52100;CAN;1930;1930;1990;1990;2;5;4096;2;0;5;2;L52100;1930;1960;x
Croil;52101;CAN;1930;1930;1943;1990;2;5;0;2;0;5;2;L52101;1930;1960;x
Cuffe;52102;CAN;1930;1930;1939;1990;1;7;4608;3;0;5;2;L52102;1930;1960;x
Fultz;52103;CAN;1930;1930;1990;1990;2;5;131584;2;0;5;2;L52103;1942;1960;x
Glazier;52104;CAN;1930;1930;1990;1990;2;6;0;2;0;5;2;L52104;1941;1960;x
Gower;52105;CAN;1930;1930;1990;1990;2;5;0;2;0;5;2;L52105;1940;1960;x
Hurley;52106;CAN;1930;1930;1990;1990;2;5;0;2;0;5;2;L52106;1943;1960;x
Kerr;52107;CAN;1930;1930;1990;1990;2;4;65536;1;0;5;2;L52107;1943;1960;x
Langlois;52108;CAN;1930;1930;1990;1990;2;4;0;1;0;5;2;L52108;1945;1960;x
MacBurney;52109;CAN;1930;1930;1990;1990;2;5;32768;2;0;5;2;L52109;1943;1960;x
Mackay-McEwan;52110;CAN;1930;1930;1945;1990;2;6;4096;2;0;5;2;L52110;1938;1960;x
Miller;52111;CAN;1930;1930;1947;1990;2;6;8192;3;0;5;2;L52111;1942;1960;x
Milroy;52112;CAN;1930;1930;1990;1990;2;5;0;2;0;5;2;L52112;1938;1960;x
Oland;52113;CAN;1930;1930;1990;1990;2;5;0;2;0;5;2;L52113;1941;1960;x
Phemgstad;52114;CAN;1930;1930;1990;1990;2;5;32768;2;0;5;2;L52114;1939;1960;x
Timmermann;52115;CAN;1930;1930;1990;1990;2;5;0;2;0;5;2;L52115;1944;1960;x
Watt;52116;CAN;1930;1930;1990;1990;2;6;131072;2;0;5;2;L52116;1939;1960;x
Moncel;52117;CAN;1930;1930;1990;1990;2;6;128;2;0;5;0;L52117;1942;1960;x
