 ;HEARTS OF IRON! Doomsday;;;;;;;;;;X
NAME_NAVAL_TORPEDOES_S;Torpedoes;Torpilles;Siluri;Torpedos;Torpedos;;;;;;X
NAME_NAVAL_ANTI_AIR_L;Capital Anti Air;Défense contre aéronefs de navire amiral;Anti-Aerea per navi maggiori;Antiaéreos de gran unidad;Flugabwehrkanonen für Großkampfschiff;;;;;;X
NAME_NAVAL_RADAR_L;Capital Radar;Radar de navire amiral;Radar per navi maggiori;Radar de gran unidad;Radar für Großkampfschiff;;;;;;X
NAME_NAVAL_FIRE_CONTROLL_L;Capital Fire Control;Système de visée de navire amiral;Centrale di Tiro per navi maggiori;Control de tiro de gran unidad;Feuerleitanlage für Großkampfschiff;;;;;;X
NAME_NAVAL_IMPROVED_HULL_L;Capital Improved Hull;Coque améliorée de navire amiral;Scafo migliorato per navi maggiori;Casco mejorado de gran unidad;Verbesserter Rumpf für Großkampfschiff;;;;;;X
NAME_NAVAL_TORPEDOES_L;Capital Torpedoes;Torpilles de navire amiral;Siluri per navi maggiori;Torpedos de gran unidad;Torpedos für Großkampfschiff;;;;;;X
SNAME_NAVAL_ASW;ASW;ASM;ASM;GAS;UAW;;;;;;X
SNAME_NAVAL_ANTI_AIR_S;S-AA;DCA;AA;AA;Fl.Abw.;;;;;;X
SNAME_NAVAL_RADAR_S;S-RA;Radar;Radar;RA;Radar;;;;;;X
SNAME_NAVAL_FIRE_CONTROLL_S;S-FC;Sys. visée;Cen. Tiro;CT;FLA;;;;;;X
SNAME_NAVAL_IMPROVED_HULL_S;S-IH;Coque;Scafo;CM;Verb. Rumpf;;;;;;X
SNAME_NAVAL_TORPEDOES_S;S-TM;Torp.;Siluri;TN;Torp.;;;;;;X
SNAME_NAVAL_ANTI_AIR_L;AA;DCA;AA;AA;GKS-Fl.Abw.;;;;;;X
SNAME_NAVAL_RADAR_L;RA;Radar;Radar;RA;GKS-Radar;;;;;;X
SNAME_NAVAL_FIRE_CONTROLL_L;FC;Sys. visée;Cen. Tiro;CT;GKS-FLA;;;;;;X
SNAME_NAVAL_IMPROVED_HULL_L;IH;Coque;Scafo;CM;Verb. GKS-Rumpf;;;;;;X
SNAME_NAVAL_TORPEDOES_L;TM;Torp.;Siluri;TN;GKS-Torp.;;;;;;X
SDESC_NAVAL_ASW;This ship has upgraded ASW equipment.;Ce navire est équipé pour la lutte anti sous-marine.;A questa nave è stato migliorato l'equipaggiamento antisommergibile.;Las mejoras en sónar y armamento antisubmarino mejoran la capacidad de este barco para encontrar y hundir submarinos.;Dieses Schiff verfügt über Verbesserungen zur UAW.;;;;;;X
SDESC_NAVAL_ANTI_AIR_S;This ship has additional Anti-Air weaponsystems.;Ce navire est équipé de canons de DCA supplémentaires.;A questa nave sono stati aggiunti ulteriori sistemi antiaerei.;Las mejoras en armamento antiaéreo y tecnología de fijación de objetivos mejoran la capacidad de este barco para luchar contra aviones enemigos. ;Dieses Schiff verfügt über zusätzliche Flugabwehrkannonen.;;;;;;X
SDESC_NAVAL_RADAR_S;This ship is equipped with Radar.;Ce navire est équipé de systèmes de radar.;Questa nave è equipaggiata con un radar.;El radar de superficie mejorado hace que este barco encuentre unidades navales y convoyes enemigos con mayor eficacia. ;Dieses Schiff verfügt über zusätzliches Radar.;;;;;;X
SDESC_NAVAL_FIRE_CONTROLL_S;This ship has improved Fire Control system.;Ce navire est équipé d'un système de contrôle de tir.;A questa nave è stato migliorato il sistema di controllo del tiro.;El uso de computadoras mecánicas para calcular y optimizar las opciones de disparo hace que esta unidad naval tenga mayor alcance y precisión de tiro.;Dieses Schiff verfügt über zusätzliche Feuerleitanlagen.;;;;;;X
SDESC_NAVAL_IMPROVED_HULL_S;This ship has added Armor protection.;La coque de ce navire est renforcée.;A questa nave è stata migliorata la protezione.;La concentración del blindaje en puntos clave y la instalación de más compartimentos estancos aumentan la posibilidad de supervivencia de este barco. ;Dieses Schiff verfügt über zusätzliche Panzerung.;;;;;;X
SDESC_NAVAL_TORPEDOES_S;This ship has additional Torpedo launchers.;Ce navire peut lancer plus de torpilles.;Questa nave è dotata di ulteriori sistemi di lancio per i siluri.;La mejora de los sistemas de guía de los torpedos y la modernización de los mismos hacen a este barco más eficaz en el ataque a convoyes. ;Dieses Schiff verfügt über zusätzliche Torpedorohre.;;;;;;X
SDESC_NAVAL_ANTI_AIR_L;This ship has additional Anti-Air weaponsystems.;Ce navire est équipé de canons de DCA supplémentaires.;A questa nave sono stati aggiunti ulteriori sistemi antiaerei.;Las mejoras en armamento antiaéreo y tecnología de fijación de objetivos mejoran la capacidad de este barco para luchar contra aviones enemigos. ;Dieses Schiff verfügt über Verbesserungen zur UAW.;;;;;;X
SDESC_NAVAL_RADAR_L;This ship is equipped with Radar.;Ce navire est équipé de systèmes de radar.;Questa nave è equipaggiata con un radar.;El radar de superficie mejorado hace que este barco encuentre unidades navales y convoyes enemigos con mayor eficacia. ;Dieses Schiff verfügt über zusätzliche Flugabwehrkannonen.;;;;;;X
SDESC_NAVAL_FIRE_CONTROLL_L;This ship has improved Fire Control system.;Ce navire est équipé d'un système de contrôle de tir.;A questa nave è stato migliorato il sistema di controllo del tiro.;El uso de computadoras mecánicas para calcular y optimizar las opciones de disparo hace que esta unidad naval tenga mayor alcance y precisión de tiro.;Dieses Schiff verfügt über zusätzliches Radar.;;;;;;X
SDESC_NAVAL_IMPROVED_HULL_L;This ship has added Armor protection.;La coque de ce navire est renforcée.;A questa nave è stata migliorata la protezione.;La concentración del blindaje en puntos clave y la instalación de más compartimentos estancos aumentan la posibilidad de supervivencia de este barco. ;Dieses Schiff verfügt über zusätzliche Feuerleitanlagen.;;;;;;X
SDESC_NAVAL_TORPEDOES_L;This ship has additional Torpedo launchers.;Ce navire est équipé d'un système de contrôle de tir.;Questa nave è dotata di ulteriori sistemi di lancio per i siluri.;La mejora de los sistemas de guía de los torpedos y la modernización de los mismos hacen a este barco más eficaz en el ataque a convoyes. ;Dieses Schiff verfügt über zusätzliche Panzerung.;;;;;;X
LDESC_NAVAL_ASW;Improvements in both Sonar and ASW weaponry improve this ships ability to find and sink submarines.;Les améliorations du sonar et de l'armements de lutte anti-sous-marine embarqués améliorent sa capacité à détecter et couler les sous-marins hostiles.;Miglioramenti sia al Sonar che all'armamento subacqueo aumentano la capacità di questa nave di scoprire e affondare i sommergibili.;Las mejoras en sónar y armamento antisubmarino mejoran la capacidad de este barco para encontrar y hundir submarinos.;Verbesserungen bei Sonar und UAW erhöhen die Fähigkeit von Schiffen, U-Boote aufzuspüren und zu versenken;;;;;;X
LDESC_NAVAL_ANTI_AIR_S;Improvements to anti aircraft armaments and targeting technology make this ship better at engaging enemy aircraft.;L'amélioration des armements de défense contre aéronefs du navire ainsi que leurs systèmes de visée rendent ce navire plus apte a affronter des avions ennemis.;Miglioramenti all'armamento anti-aereo e ai sistemi di puntamento aumentano le capacità di questa nave di ingaggiare i velivoli nemici.;Las mejoras en armamento antiaéreo y tecnología de fijación de objetivos mejoran la capacidad de este barco para luchar contra aviones enemigos.;Die neue Luftabwehr verbessert die Fähigkeit von Schiffen, Luftangriffe abzuwehren;;;;;;X
LDESC_NAVAL_RADAR_S;Improved surface search radar allows this ship to better find enemy naval units and convoys. ;L'amélioration du radiorepérage du navire lui permet de decouvrir plus aisément les navires et convois ennemis.;L'utilizzo di radar di scoperta di superficie permette a questa nave di incrementare le capacità di scoperta di unità navali nemiche e convogli.;El radar de superficie mejorado hace que este barco encuentre unidades navales y convoyes enemigos con mayor eficacia. ;Verbessertes Überwasserradar erhöht die Fähigkeit von Schiffen, feindliche Schiffe und Konvois zu finden;;;;;;X
LDESC_NAVAL_FIRE_CONTROLL_S;The use of mechanical computers to calculate and update firing solutions allows this naval unit to fire further and more accurately;L'utilisation de calculatrices méchaniques pour calculer et mettre à jour les solutions de tir donnent à ce navire une meilleure précision de tir.;L'utilizzo di calcolatori meccanici per determinare e aggiornare le soluzioni di tiro permette a questa nave una superiore cadenza di fuoco e una maggiore precisione.;El uso de computadoras mecánicas para calcular y optimizar las opciones de disparo hace que esta unidad naval tenga mayor alcance y precisión de tiro.;Durch den Einsatz von Computern wird die Zielgenauigkeit der Schiffe erhöht;;;;;;X
LDESC_NAVAL_IMPROVED_HULL_S;The focusing of armour on key location and the addition of more watertight compartments will improve the survivability of this ship.;L'attention apportée au blindage aux points clefs et l'ajout de nouveaux compartiements imperméables améliorent la viabilité du navire.;L'incremento di corazzatura nei punti chiave e l'aggiunta di un maggior numero di compartimenti stagni migliora la capacità di sopravvivenza della nave.;La concentración del blindaje en puntos clave y la instalación de más compartimentos estancos aumentan la posibilidad de supervivencia de este barco.;Durch den Einsatz von verbesserter Panzerung und wasserdichten Abteilungen ist das Schiff schwerer zu versenken;;;;;;X
LDESC_NAVAL_TORPEDOES_S;The upgrading of the torpedo targeting systems and the fitting of more modern torpedoes will make this ship more effective at convoy raiding. ;L'amélioration du système de visée des torpilles et l'inclusion de torpilles plus modernes faciliteront la traque des convois ennemis.;Il miglioramento dei sistemi di puntamento delle torpedini e l'approvigionamento di siluri più moderni permetterà a questa nave di migliorare la capacità di caccia ai convogli.;La mejora de los sistemas de guía de los torpedos y la modernización de los mismos hacen a este barco más eficaz en el ataque a convoyes. ;Die Verbesserungen des Torpedozielsystems und der Einsatz von neuen Torpedos erhöht die Kampfkraft gegen Konvois;;;;;;X
LDESC_NAVAL_ANTI_AIR_L;Improvements to anti aircraft armaments and targeting technology make this ship better at engaging enemy aircraft.;L'amélioration des armements de défense contre aéronefs du navire ainsi que leurs systèmes de visée rendent ce navire plus apte a affronter des avions ennemis.;Miglioramenti all'armamento anti-aereo e ai sistemi di puntamento aumentano le capacità di questa nave di ingaggiare i velivoli nemici.;Las mejoras en armamento antiaéreo y tecnología de fijación de objetivos mejoran la capacidad de este barco para luchar contra aviones enemigos.;Die neue Luftabwehr verbessert die Fähigkeit von Schiffen, Luftangriffe abzuwehren;;;;;;X
LDESC_NAVAL_RADAR_L;Improved surface search radar allows this ship to better find enemy naval units and convoys. ;L'amélioration du radiorepérage du navire lui permet de decouvrir plus aisément les navires et convois ennemis.;L'utilizzo di radar di scoperta di superficie permette a questa nave di incrementare le capacità di scoperta di unità navali nemiche e convogli.;El radar de superficie mejorado hace que este barco encuentre unidades navales y convoyes enemigos con mayor eficacia. ;Verbessertes Überwasserradar erhöht die Fähigkeit von Schiffen, feindliche Schiffe und Konvois zu finden;;;;;;X
LDESC_NAVAL_FIRE_CONTROLL_L;The use of mechanical computers to calculate and update firing solutions allows this naval unit to fire further and more accurately;L'utilisation de calculatrices méchaniques pour calculer et mettre à jour les solutions de tir donnent à ce navire une meilleure précision de tir.;L'utilizzo di calcolatori meccanici per determinare e aggiornare le soluzioni di tiro permette a questa nave una superiore cadenza di fuoco e una maggiore precisione.;El uso de computadoras mecánicas para calcular y optimizar las opciones de disparo hace que esta unidad naval tenga mayor alcance y precisión de tiro.;Durch den Einsatz von Computern wird die Zielgenauigkeit der Schiffe erhöht;;;;;;X
LDESC_NAVAL_IMPROVED_HULL_L;The focusing of armour on key locations and the addition of more watertight compartments will improve the survivability of this ship.;L'attention apportée au blindage aux points clefs et l'ajout de nouveaux compartiements imperméables améliorent la viabilité du navire.;L'incremento di corazzatura nei punti chiave e l'aggiunta di un maggior numero di compartimenti stagni migliora la capacità di sopravvivenza della nave.;La concentración del blindaje en puntos clave y la instalación de más compartimentos estancos aumentan la posibilidad de supervivencia de este barco.;Durch den Einsatz von verbesserter Panzerung und wasserdichten Abteilungen ist das Schiff schwerer zu versenken;;;;;;X
LDESC_NAVAL_TORPEDOES_L;The upgrading of the torpedo targeting systems and the fitting of more modern torpedoes will make this ship more effective at convoy raiding. ;L'amélioration du système de visée des torpilles et l'inclusion de torpilles plus modernes faciliteront la traque des convois ennemis.;Il miglioramento dei sistemi di puntamento delle torpedini e l'approvigionamento di siluri più moderni permetterà a questa nave di migliorare la capacità di caccia ai convogli.;La mejora de los sistemas de guía de los torpedos y la modernización de los mismos hacen a este barco más eficaz en el ataque a convoyes. ;Die Verbesserungen des Torpedozielsystems und der Einsatz von neuen Torpedos erhöht die Kampfkraft gegen Konvois;;;;;;X
BRIG_MODEL_16_0;ASW;ASM;Anti-Sommergibile;GAS;UAW;;;;;;X
BRIG_MODEL_17_0;AA;DCA;Anti-Aerea;AA;Flak;;;;;;x
BRIG_MODEL_18_0;Radar;Radar;Radar;Radar;Radar;;;;;;x
BRIG_MODEL_19_0;Fire Control;Système de visée;Centrale di Tiro;Control de tiro;Feuerleitanlage;;;;;;x
BRIG_MODEL_20_0;Improved Hull;Coque améliorée;Scafo migliorato;Casco mejorado;Verb. Rumpf;;;;;;x
BRIG_MODEL_21_0;Torpedoes;Torpilles;Siluri;Torpedos;Torpedos;;;;;;x
BRIG_MODEL_22_0;Capital AA;DCA de Navire Amiral;Anti-Aerea per navi maggiori;AA de gran unidad;GKS-Flak;;;;;;x
BRIG_MODEL_23_0;Capital Radar;Radar de Navire Amiral;Radar per navi maggiori;Radar de gran unidad;GKS-Radar;;;;;;x
BRIG_MODEL_24_0;Capital Fire Control;Système de visée de Navire Amiral;Centrale di Tiro per navi maggiori;Control de tiro de gran unidad;GKS-Feuerleitanlage;;;;;;x
BRIG_MODEL_25_0;Capital Improved Hull;Coque Améliorée de Navire Amiral;Scafo migliorato per navi maggiori;Casco mejorado de gran unidad;Verb. GKS-Rumpf;;;;;;x
BRIG_MODEL_26_0;Capital Torpedoes;Torpilles de Navire Amiral;Siluri per navi maggiori;Torpedos de gran unidad;GKS-Torpedos;;;;;;x
BRIG_MODEL_16_1;Improved ASW;ASM de Navire Amiral;Anti-Sommergibile migliorato;GAS de gran unidad;Verb. UAW;;;;;;X
BRIG_MODEL_17_1;Improved AA;DCA;Anti-Aerea migliorata;AA;Verb. Flak;;;;;;x
BRIG_MODEL_18_1;Improved Radar;Radar;Radar migliorato;Radar;Verb. Radar;;;;;;x
BRIG_MODEL_19_1;Improved Fire Control;Système de visée;Controllo del Tiro migliorato;Control de tiro;Verb. Feuerleitanlage;;;;;;x
BRIG_MODEL_20_1;Improved Hull;Coque améliorée;Scafo migliorato;Casco mejorado;GKS-Zusatzpanzerung;;;;;;x
BRIG_MODEL_21_1;Improved Torpedoes;Torpilles;Siluri migliorati;Torpedos;Verb. Torpedos;;;;;;x
BRIG_MODEL_22_1;Impr. Capital AA;DCA de Navire Amiral;Anti-Aerea migliorata per navi maggiori;AA de gran unidad;Verb. GKS-Flak;;;;;;x
BRIG_MODEL_23_1;Impr. Capital Radar;Radar de Navire Amiral;Radar migliorato per navi maggiori;Radar de gran unidad;Verb. GKS-Radar;;;;;;x
BRIG_MODEL_24_1;Impr. Capital Fire Control;Système de visée de Navire Amiral;Controllo del Tiro migliorato per navi maggiori;Control de tiro de gran unidad;Verb. GKS-Feuerleitanlage;;;;;;x
BRIG_MODEL_25_1;Capital Improved Hull;Coque Améliorée de Navire Amiral;Scafo migliorato per navi maggiori;Casco mejorado de gran unidad;GKS-Zusatzpanzerung;;;;;;x
BRIG_MODEL_26_1;Impr. Capital Torpedoes;Torpilles de Navire Amiral;Siluri migliorati per navi maggiori;Torpedos de gran unidad;Verb. GKS-Torpedos;;;;;;x
EXTRA_LAND;This unit can have %d Attachment;Ajout possible de %d brigades;Questa unità può avere %d aggiunte;Esta unidad puede tener %d agregado(s);Diese Division kann %d Brigade haben;;;;;;x
EXTRA_NAVAL;This ship can have %d Attachment;Ajout possible de %d améliorations;Questa unità navale può avere %d aggiunte;Este barco puede tener %d agregado(s);Dieses Schiff kann %d Verbesserung(en) haben;;;;;;x
EXTRA_AIR;This air unit can have %d Attachment;Ajout possible de %d brigades;Questa unità aerea può avere %d aggiunte;Esta unidad aérea puede tener %d agregado(s);Dieses Geschwader kann %d Brigade haben;;;;;;x
DONTSENDFORCES;Expeditionary forces;Réception corps expeditionnaire;Forze di spedizione;Tropas expedicionarias;Expeditionsstreitkräfte;;;;;;x
FEOPT_ENDDATE;End Date;FIN DE LA PARTIE;Data di fine;FECHA DE FINALIZACIÓN;Spielende;;;;;;x
FEOPT_ICTAKEOVER;Full IC Take Over;CAPTURE DES PP;Assorbi la capacità industriale;CONTROL COMPLETO DE CI;Komplette IK-Übernahme;;;;;;x
FEOPT_TECHTEAMTAKEOVER;Tech-Team Take Over;CAPTURE DES CHERCHEURS;Assorbi i Tech teams;CONTROL DE EQUIPO TÉCNICO;Forschungsteam-Übernahme;;;;;;x
FEOPT_DEMWAR;Democracy can start war;DÉMOCRATIES BELLIQUEUSES;Democrazie aggressive;DEMOCRACIA BELICOSA;Demokratie kann Krieg erklären;;;;;;x
FEOPT_1940;1940;1940;1940;1940;1940;;;;;;x
FEOPT_1946;1946;1946;1946;1946;1946;;;;;;x
FEOPT_1952;1952;1952;1952;1952;1952;;;;;;x
FEOPT_1958;1958;1958;1958;1958;1958;;;;;;x
FEOPT_1964;1964;1964;1964;1964;1964;;;;;;x
AUTONAVALUNITS;Auto assign naval attachments;Auto-assignation des améliorations navales;Assegna automaticamente le aggiunte navali;Asignación automática de agregados navales;Schiffsverbesserungen automatisch zuweisen;;;;;;x
AUTONAVALUNITS_TOOLTIP;This check box will toggle whether the AI should assign naval attachments for you.;Cela détermine si l'IA assignera pour vous des amelioration à vos navires;Questo bottone deciderà se l'intelligenza artificiale debba assegnare le aggiunte navali al posto tuo.;Esta casilla de confirmación determinará si la IA asignará nuevos agregados navales por ti.;Diese Checkbox bestimmt ob die KI Schiffsverbesserungen automatisch für Sie zuweisen soll.;;;;;;x
BUTTON_SHOW_ARROWS_IN_DRO;This will enable you to see all your units' movement arrows on the map.;Active la visualisation permanente des flèches de mouvements de vos troupes sur la carte.;Questo ti permetterà di vedere le frecce direzionali di tutte le tue unità sulla mappa.;Esto te permite ver todas las flechas de movimiento de tus unidades en el mapa.;Zeigt die Bewegungsrichtung aller sich bewegenden Einheiten an.;;;;;;x
BUTTON_SHOW_ARROWS_IN_IRO;Show Arrows (*);Directions des divisions visibles (*);Mostra le frecce (*);Mostrar flechas (*);Bewegungspfeile anzeigen (*);;;;;;x
EXTRA_DONT_HAVE1;You don't have the technology to build;Vous n'avez pas les connaissances;Non possiedi le tecnologie per fornire;No tienes la tecnología necesaria para construir;Sie haben nicht die Technologie,;;;;;;x
EXTRA_DONT_HAVE2;any attachments.;necessaires à la construction d'une brigade.;aggiunte.;agregado(s).;um Brigaden/Verbesserungen zu bauen.;;;;;;x
USN;USNA;USNA;Stati Uniti del Nord America;EE.UU.;USNA;;;;;;x
UAU;Australasia;Australasie;Australasia;Australasia;Australasiat. Staatenbund;;;;;;x
UCH;Republic of China;République de Chine;Repubblica Cinese;República de China;Chinesische Republik;;;;;;x
UBO;Bourbon;Les Bourbons;Regno Borbonico;Borbones;Bourbonisches Königreich;;;;;;x
UTC;The Cossacks;Les Cosaques;Unione Cosacca;Los cosacos;Kosakenunion;;;;;;x
UGS;Sweden;Suède;Svezia;Suecia;Schwedisches Königreich;;;;;;x
UCS;The Confederates;Les Confédérés;Stati Confederati;Los confederados;Konföderierte Staaten;;;;;;x
UIC;Indo China;Indo-Chine;Indocina;Indochina;Indochina;;;;;;x
UPR;Prussia;Prusse;Prussia;Prusia;Preußisches Königreich;;;;;;x
UER;Empire of Russia;Empire de Russie;Impero Russo;Imperio de Rusia;Russisches Reich;;;;;;x
UTO;The Ottomans;Les Ottomans;Impero Ottomano;Los otomanos;Osmanisches Reich;;;;;;x
UIR;Indian Republic;République Indienne;Repubblica Indiana;República India;Indische Republik;;;;;;x
UTL;The Libertadores;Les Libertadores;I Libertadores;Los Libertadores;Südamerikan. Gemeinschaft;;;;;;x
UPS;PRRS;PRRS;Repubblica Popolare del Sol Levante;PRRS;VR der aufgehenden Sonne;;;;;;x
UES;European Soviets;Soviets européens;Soviet europei;Soviets Europeos;Europäische Räterepublik;;;;;;x
URO;Roma;Rome;Repubblica Socialista Romana;Roma;Römische Sozialrepublik;;;;;;x
UAP;APR;APR;Repubblica Popolare Africana;CNA;Afrikanische Volksrepublik;;;;;;x
UPE;Republic of Persia;République de Perse;Repubblica Persiana;República de Persia;Persische Republik;;;;;;x
