#
# Reworked by Aregorn for HSR2_DD
#
##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);;;;;x
PROV73;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;;;;;X
PROV74;Saarbrücken;Saarbrücken;Saarbrücken;Saarbrücken;Saarbrücken;Saarbrücken;;;;;X
PROV75;Cologne;Cologne;Cologne;Cologne;Cologne;Cologne;;;;;X
PROV76;Dortmund;Dortmund;Dortmund;Dortmund;Dortmund;Dortmund;;;;;X
PROV77;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;;;;;X
PROV78;Leeuwarden;Leeuwarden;Leeuwarden;Leeuwarden;Leeuwarden;Leeuwarden;;;;;X
PROV79;Groningen;Groningen;Groningen;Groningen;Groningen;Groningen;;;;;X
PROV80;Wilhelmshafen;Wilhelmshafen;Wilhelmshafen;Wilhelmshafen;Wilhelmshafen;Wilhelmshafen;;;;;X
PROV81;Münster;Münster;Münster;Münster;Münster;Münster;;;;;X
PROV82;Kassel;Kassel;Kassel;Kassel;Kassel;Kassel;;;;;X
PROV83;Schweinfurt;Schweinfurt;Schweinfurt;Schweinfurt;Schweinfurt;Schweinfurt;;;;;X
PROV84;Erfurt;Erfurt;Erfurt;Erfurt;Erfurt;Erfurt;;;;;X
PROV85;Göttingen;Göttingen;Göttingen;Göttingen;Göttingen;Göttingen;;;;;X
PROV86;Hannover;Hannover;Hannover;Hannover;Hannover;Hannover;;;;;X
PROV87;Bremen;Bremen;Bremen;Bremen;Bremen;Bremen;;;;;X
PROV88;Hamburg;Hamburg;Hamburg;Hamburg;Hamburg;Hamburg;;;;;X
PROV89;Lübeck;Lübeck;Lübeck;Lübeck;Lübeck;Lübeck;;;;;X
PROV90;Kiel;Kiel;Kiel;Kiel;Kiel;Kiel;;;;;X
PROV91;Kolding;Kolding;Kolding;Kolding;Kolding;Kolding;;;;;X
PROV92;Århus;Århus;Århus;Århus;Århus;Århus;;;;;X
PROV93;Malmö;Malmö;Malmö;Malmö;Malmö;Malmö;;;;;X
PROV94;Noginsk;Noginsk;Noginsk;Noginsk;Noginsk;Noginsk;;;;;X
PROV95;Karlskrona;Karlskrona;Karlskrona;Karlskrona;Karlskrona;Karlskrona;;;;;X
PROV96;Gotland;Gotland;Gotland;Gotland;Gotland;Gotland;;;;;X
PROV97;Jönköping;Jönköping;Jönköping;Jönköping;Jönköping;Jönköping;;;;;X
PROV98;Göteborg;Göteborg;Göteborg;Göteborg;Göteborg;Göteborg;;;;;X
PROV99;Skövde;Skövde;Skövde;Skövde;Skövde;Skövde;;;;;X
PROV100;Norrköping;Norrköping;Norrköping;Norrköping;Norrköping;Norrköping;;;;;X
PROV101;Stockholm;Stockholm;Stockholm;Stockholm;Stockholm;Stockholm;;;;;X
PROV102;Uppsala;Uppsala;Uppsala;Uppsala;Uppsala;Uppsala;;;;;X
PROV103;Åland;Åland;Åland;Åland;Åland;Åland;;;;;X
PROV104;Västerås;Västerås;Västerås;Västerås;Västerås;Västerås;;;;;X
PROV105;Karlstad;Karlstad;Karlstad;Karlstad;Karlstad;Karlstad;;;;;X
PROV106;Åmål;Åmål;Åmål;Åmål;Åmål;Åmål;;;;;X
PROV107;Oslo;Oslo;Oslo;Oslo;Oslo;Oslo;;;;;X
PROV108;Kristiansand;Kristiansand;Kristiansand;Kristiansand;Kristiansand;Kristiansand;;;;;X
PROV109;Stavanger;Stavanger;Stavanger;Stavanger;Stavanger;Stavanger;;;;;X
PROV110;Bergen;Bergen;Bergen;Bergen;Bergen;Bergen;;;;;X
PROV111;Hamar;Hamar;Hamar;Hamar;Hamar;Hamar;;;;;X
PROV112;Ludvika;Ludvika;Ludvika;Ludvika;Ludvika;Ludvika;;;;;X
PROV113;Falun;Falun;Falun;Falun;Falun;Falun;;;;;X
PROV114;Gävle;Gävle;Gävle;Gävle;Gävle;Gävle;;;;;X
PROV115;Sveg;Sveg;Sveg;Sveg;Sveg;Sveg;;;;;X
PROV116;Röros;Röros;Röros;Röros;Röros;Röros;;;;;X
PROV117;Ålesund;Ålesund;Ålesund;Ålesund;Ålesund;Ålesund;;;;;X
PROV118;Trondheim;Trondheim;Trondheim;Trondheim;Trondheim;Trondheim;;;;;X
PROV119;Östersund;Östersund;Östersund;Östersund;Östersund;Östersund;;;;;X
PROV120;Sundsvall;Sundsvall;Sundsvall;Sundsvall;Sundsvall;Sundsvall;;;;;X
PROV121;Vilhelmina;Vilhelmina;Vilhelmina;Vilhelmina;Vilhelmina;Vilhelmina;;;;;X
PROV122;Umeå;Umeå;Umeå;Umeå;Umeå;Umeå;;;;;X
PROV123;Gällivare;Gällivare;Gällivare;Gällivare;Gällivare;Gällivare;;;;;X
PROV124;Mo i Rana;Mo i Rana;Mo i Rana;Mo i Rana;Mo i Rana;Mo i Rana;;;;;X
PROV125;Narvik;Narvik;Narvik;Narvik;Narvik;Narvik;;;;;X
PROV126;Kiruna;Kiruna;Kiruna;Kiruna;Kiruna;Kiruna;;;;;X
PROV127;Luleå;Luleå;Luleå;Luleå;Luleå;Luleå;;;;;X
PROV128;Hammerfest;Hammerfest;Hammerfest;Hammerfest;Hammerfest;Hammerfest;;;;;X
PROV129;Vardö;Vardö;Vardö;Vardö;Vardö;Vardö;;;;;X
PROV130;Rovaniemi;Rovaniemi;Rovaniemi;Rovaniemi;Rovaniemi;Rovaniemi;;;;;X
PROV131;Tornio;Tornio;Tornio;Tornio;Tornio;Tornio;;;;;X
PROV132;Petsamo;Petsamo;Petsamo;Petsamo;Petsamo;Petsamo;;;;;X
PROV133;Murmansk;Murmansk;Murmansk;Murmansk;Murmansk;Murmansk;;;;;X
PROV134;Kola;Kola;Kola;Kola;Kola;Kola;;;;;X
PROV135;Kandalaksja;Kandalaksja;Kandalaksja;Kandalaksja;Kandalaksja;Kandalaksja;;;;;X
PROV136;Kajaani;Kajaani;Kajaani;Kajaani;Kajaani;Kajaani;;;;;X
PROV137;Oulu;Oulu;Oulu;Oulu;Oulu;Oulu;;;;;X
PROV138;Vaasa;Vaasa;Vaasa;Vaasa;Vaasa;Vaasa;;;;;X
PROV139;Seinäjoki;Seinäjoki;Seinäjoki;Seinäjoki;Seinäjoki;Seinäjoki;;;;;X
PROV140;Pori;Pori;Pori;Pori;Pori;Pori;;;;;X
PROV141;Turku;Turku;Turku;Turku;Turku;Turku;;;;;X
PROV142;Helsinki;Helsinki;Helsinki;Helsinki;Helsinki;Helsinki;;;;;X
PROV143;Tampere;Tampere;Tampere;Tampere;Tampere;Tampere;;;;;X
PROV144;Mikkeli;Mikkeli;Mikkeli;Mikkeli;Mikkeli;Mikkeli;;;;;X
PROV145;Viipuri;Viipuri;Viipuri;Viipuri;Viipuri;Viipuri;;;;;X
PROV146;Sortavala;Sortavala;Sortavala;Sortavala;Sortavala;Sortavala;;;;;X
PROV147;Jyväskylä;Jyväskylä;Jyväskylä;Jyväskylä;Jyväskylä;Jyväskylä;;;;;X
PROV148;Kuopio;Kuopio;Kuopio;Kuopio;Kuopio;Kuopio;;;;;X
PROV149;Joensuu;Joensuu;Joensuu;Joensuu;Joensuu;Joensuu;;;;;X
PROV150;Kem;Kem;Kem;Kem;Kem;Kem;;;;;X
PROV151;Segezha;Segezha;Segezha;Segezha;Segezha;Segezha;;;;;X
PROV152;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrozavodsk;;;;;X
PROV153;Molotovsk;Molotovsk;Molotovsk;Molotovsk;Molotovsk;Molotovsk;;;;;X
PROV154;Archangelsk;Archangelsk;Archangelsk;Archangelsk;Archangelsk;Archangelsk;;;;;X
PROV155;Penza;Penza;Penza;Penza;Penza;Penza;;;;;X
PROV156;Balashov;Balashov;Balashov;Balashov;Balashov;Balashov;;;;;X
PROV157;Uryupinsk;Uryupinsk;Uryupinsk;Uryupinsk;Uryupinsk;Uryupinsk;;;;;X
PROV158;Kuznetsk;Kuznetsk;Kuznetsk;Kuznetsk;Kuznetsk;Kuznetsk;;;;;X
PROV159;Kamyshin;Kamyshin;Kamyshin;Kamyshin;Kamyshin;Kamyshin;;;;;X
PROV160;Frolovo;Frolovo;Frolovo;Frolovo;Frolovo;Frolovo;;;;;X
PROV161;Surovikino;Surovikino;Surovikino;Surovikino;Surovikino;Surovikino;;;;;X
PROV162;Kalach;Kalach;Kalach;Kalach;Kalach;Kalach;;;;;X
PROV163;Stalingrad;Stalingrad;Stalingrad;Stalingrad;Stalingrad;Stalingrad;;;;;X
PROV164;Cherny Yar;Cherny Yar;Cherny Yar;Cherny Yar;Cherny Yar;Cherny Yar;;;;;X
PROV165;Konosha;Konosha;Konosha;Konosha;Konosha;Konosha;;;;;X
PROV166;Kostroma;Kostroma;Kostroma;Kostroma;Kostroma;Kostroma;;;;;X
PROV167;Ivanovo;Ivanovo;Ivanovo;Ivanovo;Ivanovo;Ivanovo;;;;;X
PROV168;Gorkij;Gorkij;Gorkij;Gorkij;Gorkij;Gorkij;;;;;X
PROV169;Arzamas;Arzamas;Arzamas;Arzamas;Arzamas;Arzamas;;;;;X
PROV170;Totma;Totma;Totma;Totma;Totma;Totma;;;;;X
PROV171;Volodga;Volodga;Volodga;Volodga;Volodga;Volodga;;;;;X
PROV172;Cherepovets;Cherepovets;Cherepovets;Cherepovets;Cherepovets;Cherepovets;;;;;X
PROV173;Bezhetsk;Bezhetsk;Bezhetsk;Bezhetsk;Bezhetsk;Bezhetsk;;;;;X
PROV174;Kalinin;Kalinin;Kalinin;Kalinin;Kalinin;Kalinin;;;;;X
PROV175;Moscow;Moscow;Moscow;Moscow;Moscow;Moscow;;;;;X
PROV176;Rybinsk;Rybinsk;Rybinsk;Rybinsk;Rybinsk;Rybinsk;;;;;X
PROV177;Danilov;Danilov;Danilov;Danilov;Danilov;Danilov;;;;;X
PROV178;Yaroslavl;Yaroslavl;Yaroslavl;Yaroslavl;Yaroslavl;Yaroslavl;;;;;X
PROV179;Murom;Murom;Murom;Murom;Murom;Murom;;;;;X
PROV180;Vladimir;Vladimir;Vladimir;Vladimir;Vladimir;Vladimir;;;;;X
PROV181;Kaluga;Kaluga;Kaluga;Kaluga;Kaluga;Kaluga;;;;;X
PROV182;Mozhaisk;Mozhaisk;Mozhaisk;Mozhaisk;Mozhaisk;Mozhaisk;;;;;X
PROV183;Vytegra;Vytegra;Vytegra;Vytegra;Vytegra;Vytegra;;;;;X
PROV184;Tikhvin;Tikhvin;Tikhvin;Tikhvin;Tikhvin;Tikhvin;;;;;X
PROV185;Volkhov;Volkhov;Volkhov;Volkhov;Volkhov;Volkhov;;;;;X
PROV186;Luga;Luga;Luga;Luga;Luga;Luga;;;;;X
PROV187;Leningrad;Leningrad;Leningrad;Leningrad;Leningrad;Leningrad;;;;;X
PROV188;Kingisepp;Kingisepp;Kingisepp;Kingisepp;Kingisepp;Kingisepp;;;;;X
PROV189;Novgorod;Novgorod;Novgorod;Novgorod;Novgorod;Novgorod;;;;;X
PROV190;Staraya Russa;Staraya Russa;Staraya Russa;Staraya Russa;Staraya Russa;Staraya Russa;;;;;X
PROV191;Porkhov;Porkhov;Porkhov;Porkhov;Porkhov;Porkhov;;;;;X
PROV192;Gdov;Gdov;Gdov;Gdov;Gdov;Gdov;;;;;X
PROV193;Narva;Narva;Narva;Narva;Narva;Narva;;;;;X
PROV194;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;;;;;X
PROV195;Tartu;Tartu;Tartu;Tartu;Tartu;Tartu;;;;;X
PROV196;Pärnu;Pärnu;Pärnu;Pärnu;Pärnu;Pärnu;;;;;X
PROV197;Riga;Riga;Riga;Riga;Riga;Riga;;;;;X
PROV198;Gulbene;Gulbene;Gulbene;Gulbene;Gulbene;Gulbene;;;;;X
PROV199;Voru;Voru;Voru;Voru;Voru;Voru;;;;;X
PROV200;Pskov;Pskov;Pskov;Pskov;Pskov;Pskov;;;;;X
PROV201;Opochka;Opochka;Opochka;Opochka;Opochka;Opochka;;;;;X
PROV202;Dagaupulis;Dagaupulis;Dagaupulis;Dagaupulis;Dagaupulis;Dagaupulis;;;;;X
PROV203;Jekapils;Jekapils;Jekapils;Jekapils;Jekapils;Jekapils;;;;;X
PROV204;Jelgava;Jelgava;Jelgava;Jelgava;Jelgava;Jelgava;;;;;X
PROV205;Mazirbe;Mazirbe;Mazirbe;Mazirbe;Mazirbe;Mazirbe;;;;;X
PROV206;Memel;Memel;Memel;Memel;Memel;Memel;;;;;X
PROV207;Kaunas;Kaunas;Kaunas;Kaunas;Kaunas;Kaunas;;;;;X
PROV208;Wilno;Wilno;Wilno;Wilno;Wilno;Wilno;;;;;X
PROV209;Grodno;Grodno;Grodno;Grodno;Grodno;Grodno;;;;;X
PROV210;Baranowicze;Baranowicze;Baranowicze;Baranowicze;Baranowicze;Baranowicze;;;;;X
PROV211;Lida;Lida;Lida;Lida;Lida;Lida;;;;;X
PROV212;Minsk;Minsk;Minsk;Minsk;Minsk;Minsk;;;;;X
PROV213;Molodeczno;Molodeczno;Molodeczno;Molodeczno;Molodeczno;Molodeczno;;;;;X
PROV214;Swieciany;Swieciany;Swieciany;Swieciany;Swieciany;Swieciany;;;;;X
PROV215;Novorzhev;Novorzhev;Novorzhev;Novorzhev;Novorzhev;Novorzhev;;;;;X
PROV216;Nevel;Nevel;Nevel;Nevel;Nevel;Nevel;;;;;X
PROV217;Vitebsk;Vitebsk;Vitebsk;Vitebsk;Vitebsk;Vitebsk;;;;;X
PROV218;Orsha;Orsha;Orsha;Orsha;Orsha;Orsha;;;;;X
PROV219;Smolensk;Smolensk;Smolensk;Smolensk;Smolensk;Smolensk;;;;;X
PROV220;Mogilev;Mogilev;Mogilev;Mogilev;Mogilev;Mogilev;;;;;X
PROV221;Bobraisk;Bobraisk;Bobraisk;Bobraisk;Bobraisk;Bobraisk;;;;;X
PROV222;Luniniec;Luniniec;Luniniec;Luniniec;Luniniec;Luniniec;;;;;X
PROV223;;;;;;;;;;;X
PROV224;;;;;;;;;;;X
PROV225;Mozyr;Mozyr;Mozyr;Mozyr;Mozyr;Mozyr;;;;;X
PROV226;Korosten;Korosten;Korosten;Korosten;Korosten;Korosten;;;;;X
PROV227;Zhitomir;Zhitomir;Zhitomir;Zhitomir;Zhitomir;Zhitomir;;;;;X
PROV228;Vinnitsa;Vinnitsa;Vinnitsa;Vinnitsa;Vinnitsa;Vinnitsa;;;;;X
PROV229;Stanislawow;Stanislawow;Stanislawow;Stanislawow;Stanislawow;Stanislawow;;;;;X
PROV230;Beltsy;Beltsy;Beltsy;Beltsy;Beltsy;Beltsy;;;;;X
PROV231;Mogilev Podolski;Mogilev Podolski;Mogilev Podolski;Mogilev Podolski;Mogilev Podolski;Mogilev Podolski;;;;;X
PROV232;Balta;Balta;Balta;Balta;Balta;Balta;;;;;X
PROV233;Odessa;Odessa;Odessa;Odessa;Odessa;Odessa;;;;;X
PROV234;Kherson;Kherson;Kherson;Kherson;Kherson;Kherson;;;;;X
PROV235;Dnepropetrovsk;Dnepropetrovsk;Dnepropetrovsk;Dnepropetrovsk;Dnepropetrovsk;Dnepropetrovsk;;;;;X
PROV236;Krivoy Rog;Krivoy Rog;Krivoy Rog;Krivoy Rog;Krivoy Rog;Krivoy Rog;;;;;X
PROV237;Cherkassy;Cherkassy;Cherkassy;Cherkassy;Cherkassy;Cherkassy;;;;;X
PROV238;Kiev;Kiev;Kiev;Kiev;Kiev;Kiev;;;;;X
PROV239;Priluki;Priluki;Priluki;Priluki;Priluki;Priluki;;;;;X
PROV240;Vyshgorod;Vyshgorod;Vyshgorod;Vyshgorod;Vyshgorod;Vyshgorod;;;;;X
PROV241;Chernigov;Chernigov;Chernigov;Chernigov;Chernigov;Chernigov;;;;;X
PROV242;Konotop;Konotop;Konotop;Konotop;Konotop;Konotop;;;;;X
PROV243;Kursk;Kursk;Kursk;Kursk;Kursk;Kursk;;;;;X
PROV244;Sumy;Sumy;Sumy;Sumy;Sumy;Sumy;;;;;X
PROV245;Poltava;Poltava;Poltava;Poltava;Poltava;Poltava;;;;;X
PROV246;Zaporozhye;Zaporozhye;Zaporozhye;Zaporozhye;Zaporozhye;Zaporozhye;;;;;X
PROV247;Belgorod;Belgorod;Belgorod;Belgorod;Belgorod;Belgorod;;;;;X
PROV248;Kharkov;Kharkov;Kharkov;Kharkov;Kharkov;Kharkov;;;;;X
PROV249;Stalino;Stalino;Stalino;Stalino;Stalino;Stalino;;;;;X
PROV250;Melitopol;Melitopol;Melitopol;Melitopol;Melitopol;Melitopol;;;;;X
PROV251;Perekop;Perekop;Perekop;Perekop;Perekop;Perekop;;;;;X
PROV252;Yevpatoriya;Yevpatoriya;Yevpatoriya;Yevpatoriya;Yevpatoriya;Yevpatoriya;;;;;X
PROV253;Sevastopol;Sevastopol;Sevastopol;Sevastopol;Sevastopol;Sevastopol;;;;;X
PROV254;Kerch;Kerch;Kerch;Kerch;Kerch;Kerch;;;;;X
PROV255;Novorossisk;Novorossisk;Novorossisk;Novorossisk;Novorossisk;Novorossisk;;;;;X
PROV256;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;;;;;X
PROV257;Tikhoretsk;Tikhoretsk;Tikhoretsk;Tikhoretsk;Tikhoretsk;Tikhoretsk;;;;;X
PROV258;Rostov;Rostov;Rostov;Rostov;Rostov;Rostov;;;;;X
PROV259;Kamensk-Shakhtinski;Kamensk-Shakhtinski;Kamensk-Shakhtinski;Kamensk-Shakhtinski;Kamensk-Shakhtinski;Kamensk-Shakhtinski;;;;;X
PROV260;Bilovodsk;Bilovodsk;Bilovodsk;Bilovodsk;Bilovodsk;Bilovodsk;;;;;X
PROV261;Rossosh;Rossosh;Rossosh;Rossosh;Rossosh;Rossosh;;;;;X
PROV262;Ostrogozhsk;Ostrogozhsk;Ostrogozhsk;Ostrogozhsk;Ostrogozhsk;Ostrogozhsk;;;;;X
PROV263;Svoboda;Svoboda;Svoboda;Svoboda;Svoboda;Svoboda;;;;;X
PROV264;Pavlovsk;Pavlovsk;Pavlovsk;Pavlovsk;Pavlovsk;Pavlovsk;;;;;X
PROV265;Boguchar;Boguchar;Boguchar;Boguchar;Boguchar;Boguchar;;;;;X
PROV266;Kashary;Kashary;Kashary;Kashary;Kashary;Kashary;;;;;X
PROV267;Bokovskaya;Bokovskaya;Bokovskaya;Bokovskaya;Bokovskaya;Bokovskaya;;;;;X
PROV268;Morozovsk;Morozovsk;Morozovsk;Morozovsk;Morozovsk;Morozovsk;;;;;X
PROV269;Konstatinovsk;Konstatinovsk;Konstatinovsk;Konstatinovsk;Konstatinovsk;Konstatinovsk;;;;;X
PROV270;Salsk;Salsk;Salsk;Salsk;Salsk;Salsk;;;;;X
PROV271;Kotelnikovo;Kotelnikovo;Kotelnikovo;Kotelnikovo;Kotelnikovo;Kotelnikovo;;;;;X
PROV272;Zhlobin;Zhlobin;Zhlobin;Zhlobin;Zhlobin;Zhlobin;;;;;X
PROV273;Gomel;Gomel;Gomel;Gomel;Gomel;Gomel;;;;;X
PROV274;Rogachev;Rogachev;Rogachev;Rogachev;Rogachev;Rogachev;;;;;X
PROV275;Roslavl;Roslavl;Roslavl;Roslavl;Roslavl;Roslavl;;;;;X
PROV276;Klintsy;Klintsy;Klintsy;Klintsy;Klintsy;Klintsy;;;;;X
PROV277;Bryansk;Bryansk;Bryansk;Bryansk;Bryansk;Bryansk;;;;;X
PROV278;Tula;Tula;Tula;Tula;Tula;Tula;;;;;X
PROV279;Ryazan;Ryazan;Ryazan;Ryazan;Ryazan;Ryazan;;;;;X
PROV280;Tambov;Tambov;Tambov;Tambov;Tambov;Tambov;;;;;X
PROV281;Lipetsk;Lipetsk;Lipetsk;Lipetsk;Lipetsk;Lipetsk;;;;;X
PROV282;Orel;Orel;Orel;Orel;Orel;Orel;;;;;X
PROV283;Voronezh;Voronezh;Voronezh;Voronezh;Voronezh;Voronezh;;;;;X
PROV284;Borisglebsk;Borisglebsk;Borisglebsk;Borisglebsk;Borisglebsk;Borisglebsk;;;;;X
PROV285;Vyazma;Vyazma;Vyazma;Vyazma;Vyazma;Vyazma;;;;;X
PROV286;Toropets;Toropets;Toropets;Toropets;Toropets;Toropets;;;;;X
PROV287;Velikiye Luki;Velikiye Luki;Velikiye Luki;Velikiye Luki;Velikiye Luki;Velikiye Luki;;;;;X
PROV288;Rzhev;Rzhev;Rzhev;Rzhev;Rzhev;Rzhev;;;;;X
PROV289;Demyansk;Demyansk;Demyansk;Demyansk;Demyansk;Demyansk;;;;;X
PROV290;Öresund;Öresund;Öresund;Öresund;Öresund;Öresund;;;;;X
PROV291;;;;;;;;;;;X
PROV292;Aalborg;Aalborg;Aalborg;Aalborg;Aalborg;Aalborg;;;;;X
PROV293;Odense;Odense;Odense;Odense;Odense;Odense;;;;;X
PROV294;Copenhagen;Copenhagen;Copenhagen;Copenhagen;Copenhagen;Copenhagen;;;;;X
PROV295;Bornholm;Bornholm;Bornholm;Bornholm;Bornholm;Bornholm;;;;;X
PROV296;Rostock;Rostock;Rostock;Rostock;Rostock;Rostock;;;;;X
PROV297;Wolfsburg;Wolfsburg;Wolfsburg;Wolfsburg;Wolfsburg;Wolfsburg;;;;;X
PROV298;Magdeburg;Magdeburg;Magdeburg;Magdeburg;Magdeburg;Magdeburg;;;;;X
